Seed,TP MIDA Ridge (ACC) (1035),TP MIDA Ridge (AUC) (1035),TP raw Ridge (ACC) (1035),TP raw Ridge (AUC) (1035),TP MIDA LR (ACC) (871),TP MIDA LR (AUC) (871),TP raw LR (ACC) (871),TP raw LR (AUC) (871),Parisot et al (2018) (ACC) (1035),Parisot et al (2018) (AUC) (1035),Parisot et al (2018)   (ACC) (871),Parisot et al (2018)  (AUC) (871)
12,0.7572815533980580,0.7969811320754720,0.7378640776699030,0.8237735849056600,0.7674418604651160,0.8358695652173910,0.7441860465116280,0.8418478260869570,0.7281553149223330,0.820754716981132,0.6627906560897830,0.7402173913043480
12,0.7184466019417480,0.7290566037735850,0.6893203883495150,0.7222641509433960,0.686046511627907,0.7146739130434780,0.6744186046511630,0.717391304347826,0.6213592290878300,0.7388679245283020,0.6627906560897830,0.6896739130434780
12,0.7378640776699030,0.7969811320754720,0.7087378640776700,0.8150943396226420,0.7471264367816090,0.825531914893617,0.7241379310344830,0.8255319148936170,0.6310679316520690,0.669056603773585,0.7241379022598270,0.7542553191489360
12,0.7184466019417480,0.7554716981132080,0.6407766990291260,0.7030188679245280,0.6666666666666670,0.6851063829787230,0.6896551724137930,0.7085106382978720,0.6504853963851930,0.6841509433962260,0.7126436829566960,0.7542553191489360
12,0.7087378640776700,0.7539622641509440,0.6990291262135920,0.7611320754716980,0.6896551724137930,0.751595744680851,0.6781609195402300,0.7420212765957450,0.6699028611183170,0.6973584905660380,0.7126436829566960,0.7675531914893620
12,0.7019230769230770,0.8172401035886050,0.7884615384615380,0.8405475397706250,0.6436781609195400,0.7117021276595740,0.735632183908046,0.7904255319148940,0.7596152424812320,0.8231594524602300,0.7011494636535650,0.7707446808510640
12,0.6826923076923080,0.7573066962634110,0.7211538461538460,0.8002219755826860,0.7126436781609200,0.795744680851064,0.7011494252873560,0.8010638297872340,0.7019229531288150,0.7554568997410290,0.6551724672317510,0.7244680851063830
12,0.6923076923076920,0.7495375508694040,0.7115384615384620,0.7809840917499080,0.6704545454545450,0.7669953295277630,0.7386363636363640,0.7711468604047740,0.7692306041717530,0.8253792082870880,0.6136364340782170,0.7348209652309290
12,0.7692307692307690,0.8205697373288940,0.7307692307692310,0.7865334813170550,0.6363636363636360,0.7005708354955890,0.6363636363636360,0.7171769590036330,0.7115383148193360,0.7721050684424710,0.5795455574989320,0.608718214841723
12,0.7692307692307690,0.8357380688124310,0.6826923076923080,0.7672955974842770,0.7727272727272730,0.8354955889984430,0.8068181818181820,0.8546964193046190,0.6249998807907100,0.7495375508694040,0.7159093022346500,0.7758173326414120
123,0.7378640776699030,0.8041509433962260,0.7087378640776700,0.7920754716981130,0.6046511627906980,0.6315217391304350,0.5465116279069770,0.616304347826087,0.6796116828918460,0.709811320754717,0.674418568611145,0.7016304347826090
123,0.6893203883495150,0.7347169811320760,0.6990291262135920,0.7554716981132080,0.6627906976744190,0.7478260869565220,0.686046511627907,0.7673913043478260,0.7184465527534490,0.7381132075471700,0.6976742744445800,0.741304347826087
123,0.7961165048543690,0.8128301886792450,0.7669902912621360,0.809433962264151,0.7011494252873560,0.7361702127659570,0.7126436781609200,0.7382978723404250,0.6504854559898380,0.7418867924528300,0.6896552443504330,0.7361702127659580
123,0.6796116504854370,0.7060377358490570,0.6699029126213590,0.6932075471698110,0.7011494252873560,0.7797872340425530,0.735632183908046,0.8154255319148940,0.6796116232872010,0.7181132075471700,0.7011494636535650,0.7941489361702130
123,0.7766990291262140,0.8649056603773590,0.7281553398058250,0.8026415094339620,0.7586206896551720,0.8654255319148940,0.735632183908046,0.7723404255319150,0.6601940989494320,0.7343396226415090,0.6896552443504330,0.7648936170212770
123,0.7692307692307690,0.8490566037735850,0.7115384615384620,0.8139104698483170,0.7471264367816090,0.8218085106382980,0.7126436781609200,0.7861702127659570,0.7019229531288150,0.7628560858305590,0.7816091775894170,0.8037234042553190
123,0.7403846153846150,0.7735849056603770,0.7403846153846150,0.7857935627081020,0.8045977011494250,0.8553191489361700,0.8275862068965520,0.8845744680851060,0.7019229531288150,0.7617462079171290,0.7701149582862850,0.825
123,0.7115384615384620,0.7661857195708470,0.7019230769230770,0.7758046614872370,0.625,0.683445770627919,0.5909090909090910,0.6803321224701610,0.6634613871574400,0.6958934517203110,0.6931819319725040,0.7270368448365330
123,0.6923076923076920,0.7443581206067330,0.7403846153846150,0.8231594524602290,0.6477272727272730,0.6652828230409960,0.6477272727272730,0.7010897768552150,0.7307690978050230,0.8113207547169810,0.647727370262146,0.6647638816813700
123,0.6826923076923080,0.7369589345172030,0.6923076923076920,0.7706252312245650,0.6704545454545450,0.737934613388687,0.7159090909090910,0.743642968344577,0.6442306041717530,0.7487976322604510,0.6931819319725040,0.7374156720290610
1234,0.747572816,0.809433962,0.708737864,0.76490566,0.7093023255813950,0.7695652173913040,0.6976744186046510,0.7771739130434780,0.6796116828918460,0.709811320754717,0.6860463619232180,0.7054347826086960
1234,0.699029126,0.743773585,0.718446602,0.78490566,0.7093023255813950,0.7565217391304350,0.6744186046511630,0.7119565217391300,0.7184465527534490,0.7381132075471700,0.627906858921051,0.642391304347826
1234,0.747572816,0.849433962,0.718446602,0.820754717,0.7011494252873560,0.7526595744680850,0.7471264367816090,0.7861702127659570,0.6504854559898380,0.7418867924528300,0.7011494636535650,0.7132978723404260
1234,0.660194175,0.703773585,0.718446602,0.741509434,0.735632183908046,0.7824468085106380,0.7471264367816090,0.8042553191489360,0.6796116232872010,0.7181132075471700,0.7241379022598270,0.7978723404255320
1234,0.67961165,0.776226415,0.737864078,0.786792453,0.7126436781609200,0.7601063829787230,0.7701149425287360,0.8436170212765960,0.6601940989494320,0.7343396226415090,0.6896552443504330,0.7765957446808510
1234,0.759615385,0.788383278,0.711538462,0.792822789,0.6551724137931030,0.725531914893617,0.6781609195402300,0.7510638297872340,0.7019229531288150,0.7628560858305590,0.6666667461395260,0.7297872340425530
1234,0.730769231,0.770255272,0.692307692,0.794672586,0.6551724137931030,0.701063829787234,0.6436781609195400,0.7393617021276600,0.7019229531288150,0.7617462079171290,0.6896552443504330,0.6867021276595740
1234,0.711538462,0.739918609,0.634615385,0.683684795,0.6931818181818180,0.7415672029060720,0.6590909090909090,0.7026466009340950,0.6634613871574400,0.6958934517203110,0.647727370262146,0.7218474312402700
1234,0.788461538,0.84572697,0.711538462,0.789123196,0.75,0.8489880643487290,0.7840909090909090,0.8162947586922680,0.7307690978050230,0.8113207547169810,0.6818183064460750,0.7446808510638300
